,SOC,Description,Pct. 25 Hourly Earnings,Pct. 75 Hourly Earnings,Typical Entry Level Education,2016 - 2021 Change,Age 55-64,Age 65+,Possible Retirements,Occupation Title,Number of Job Postings (July - Sept 2016),,,,,,
728,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",$10.15 ,$14.60 ,High school diploma or equivalent,-8,31,<10,31,"Molders, Shapers, and Casters, Except Metal and Plastic",3,,,,,,
729,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",$11.34 ,$18.39 ,High school diploma or equivalent,-90,125,16,142,NA,NA,,,,,,
730,51-9197,Tire Builders,$14.56 ,$23.26 ,High school diploma or equivalent,-7,<10,0,0,Tire Builders,4,,,,,,
731,51-9198,Helpers--Production Workers,$10.22 ,$14.40 ,No formal educational credential,-4,297,70,367,Helpers--Production Workers,21,,,,,,
732,51-9199,"Production Workers, All Other",$9.22 ,$14.94 ,High school diploma or equivalent,46,427,63,490,"Production Workers, All Other",189,,,,,,
733,53-1011,Aircraft Cargo Handling Supervisors,$19.52 ,$31.99 ,High school diploma or equivalent,24,27,<10,27,Aircraft Cargo Handling Supervisors,1,,,,,,
734,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",$18.29 ,$31.63 ,High school diploma or equivalent,41,182,26,207,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",36,,,,,,
735,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,$21.42 ,$34.69 ,High school diploma or equivalent,28,274,42,315,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,24,,,,,,
736,53-2011,"Airline Pilots, Copilots, and Flight Engineers",$47.31 ,$86.30 ,Bachelor's degree,-5,68,<10,68,NA,NA,,,,,,
737,53-2012,Commercial Pilots,$22.00 ,$43.04 ,High school diploma or equivalent,-1,18,<10,18,Commercial Pilots,10,,,,,,
738,53-2021,Air Traffic Controllers,$46.52 ,$76.65 ,Associate's degree,-1,<10,<10,0,Air Traffic Controllers,5,,,,,,
739,53-2022,Airfield Operations Specialists,$24.44 ,$44.34 ,High school diploma or equivalent,4,19,<10,19,Airfield Operations Specialists,3,,,,,,
740,53-2031,Flight Attendants,$20.08 ,$29.43 ,High school diploma or equivalent,-146,49,<10,49,Flight Attendants,2,,,,,,
741,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",$11.15 ,$15.58 ,High school diploma or equivalent,5,<10,<10,0,NA,NA,,,,,,
742,53-3021,"Bus Drivers, Transit and Intercity",$12.29 ,$22.45 ,High school diploma or equivalent,0,183,155,338,"Bus Drivers, Transit and Intercity",2,,,,,,
743,53-3022,"Bus Drivers, School or Special Client",$16.03 ,$23.79 ,High school diploma or equivalent,31,625,384,"1,008","Bus Drivers, School or Special Client",2,,,,,,
744,53-3031,Driver/Sales Workers,$9.26 ,$15.84 ,High school diploma or equivalent,-6,530,213,744,Driver/Sales Workers,180,,,,,,
745,53-3032,Heavy and Tractor-Trailer Truck Drivers,$17.44 ,$26.31 ,Postsecondary nondegree award,267,"2,235",594,"2,829",Heavy and Tractor-Trailer Truck Drivers,"3,353",,,,,,
746,53-3033,Light Truck or Delivery Services Drivers,$12.38 ,$22.20 ,High school diploma or equivalent,359,862,248,"1,109",Light Truck or Delivery Services Drivers,189,,,,,,
747,53-3041,Taxi Drivers and Chauffeurs,$9.07 ,$11.59 ,No formal educational credential,-18,176,207,383,Taxi Drivers and Chauffeurs,13,,,,,,
748,53-3099,"Motor Vehicle Operators, All Other",$11.73 ,$21.34 ,No formal educational credential,12,59,148,207,"Motor Vehicle Operators, All Other",5,,,,,,
749,53-4011,Locomotive Engineers,$26.35 ,$37.07 ,High school diploma or equivalent,-5,43,<10,43,NA,NA,,,,,,
750,53-4012,Locomotive Firers,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,0,0,NA,NA,,,,,,
751,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",$19.47 ,$29.92 ,High school diploma or equivalent,-4,<10,<10,0,NA,NA,,,,,,
752,53-4021,"Railroad Brake, Signal, and Switch Operators",$23.51 ,$34.50 ,High school diploma or equivalent,-3,19,<10,19,NA,NA,,,,,,
753,53-4031,Railroad Conductors and Yardmasters,$26.01 ,$37.91 ,High school diploma or equivalent,-3,40,<10,40,Railroad Conductors and Yardmasters,1,,,,,,
754,53-4041,Subway and Streetcar Operators,$28.80 ,$39.57 ,High school diploma or equivalent,2,19,<10,19,NA,NA,,,,,,
755,53-4099,"Rail Transportation Workers, All Other",$21.97 ,$37.09 ,High school diploma or equivalent,0,11,<10,11,NA,NA,,,,,,
756,53-5011,Sailors and Marine Oilers,$16.18 ,$27.95 ,No formal educational credential,-13,46,<10,46,Sailors and Marine Oilers,5,,,,,,
757,53-5021,"Captains, Mates, and Pilots of Water Vessels",$32.45 ,$38.66 ,Postsecondary nondegree award,-2,51,<10,51,"Captains, Mates, and Pilots of Water Vessels",3,,,,,,
758,53-5022,Motorboat Operators,$11.99 ,$27.69 ,Postsecondary nondegree award,-10,<10,<10,0,NA,NA,,,,,,
759,53-5031,Ship Engineers,$29.98 ,$46.96 ,Postsecondary nondegree award,-7,18,<10,18,NA,NA,,,,,,
760,53-6011,Bridge and Lock Tenders,$23.86 ,$29.70 ,High school diploma or equivalent,0,<10,<10,0,NA,NA,,,,,,
761,53-6021,Parking Lot Attendants,$8.73 ,$11.00 ,No formal educational credential,-4,51,47,97,Parking Lot Attendants,39,,,,,,
762,53-6031,Automotive and Watercraft Service Attendants,$10.01 ,$14.37 ,No formal educational credential,4,56,33,88,Automotive and Watercraft Service Attendants,126,,,,,,
763,53-6041,Traffic Technicians,$18.59 ,$31.18 ,High school diploma or equivalent,0,<10,<10,0,Traffic Technicians,1,,,,,,
764,53-6051,Transportation Inspectors,$34.30 ,$58.72 ,High school diploma or equivalent,0,34,<10,34,Transportation Inspectors,3,,,,,,
765,53-6061,"Transportation Attendants, Except Flight Attendants",$10.85 ,$18.63 ,High school diploma or equivalent,0,15,<10,15,"Transportation Attendants, Except Flight Attendants",1,,,,,,
766,53-6099,"Transportation Workers, All Other",$9.25 ,$22.18 ,High school diploma or equivalent,8,51,14,65,NA,NA,,,,,,
767,53-7011,Conveyor Operators and Tenders,$17.52 ,$27.35 ,No formal educational credential,16,57,<10,57,NA,NA,,,,,,
768,53-7021,Crane and Tower Operators,$16.25 ,$30.27 ,High school diploma or equivalent,5,36,<10,36,Crane and Tower Operators,9,,,,,,
769,53-7031,Dredge Operators,$16.68 ,$24.07 ,High school diploma or equivalent,-2,<10,<10,0,NA,NA,,,,,,
770,53-7032,Excavating and Loading Machine and Dragline Operators,$15.03 ,$22.83 ,High school diploma or equivalent,-9,54,12,66,NA,NA,,,,,,
771,53-7033,"Loading Machine Operators, Underground Mining",Insf. Data,Insf. Data,No formal educational credential,Insf. Data,<10,<10,0,"Loading Machine Operators, Underground Mining",2,,,,,,
772,53-7041,Hoist and Winch Operators,$14.12 ,$24.53 ,No formal educational credential,-1,<10,<10,0,Hoist and Winch Operators,2,,,,,,
773,53-7051,Industrial Truck and Tractor Operators,$13.15 ,$18.47 ,No formal educational credential,114,874,91,966,Industrial Truck and Tractor Operators,81,,,,,,
774,53-7061,Cleaners of Vehicles and Equipment,$9.24 ,$12.82 ,No formal educational credential,14,171,62,233,Cleaners of Vehicles and Equipment,19,,,,,,
775,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",$10.95 ,$16.75 ,No formal educational credential,988,"2,212",435,"2,647","Laborers and Freight, Stock, and Material Movers, Hand",631,,,,,,
776,53-7063,Machine Feeders and Offbearers,$13.55 ,$20.39 ,No formal educational credential,22,120,44,164,Machine Feeders and Offbearers,3,,,,,,
777,53-7064,"Packers and Packagers, Hand",$9.64 ,$13.34 ,No formal educational credential,116,735,190,924,"Packers and Packagers, Hand",87,,,,,,
778,53-7071,Gas Compressor and Gas Pumping Station Operators,$23.20 ,$33.87 ,High school diploma or equivalent,-8,<10,<10,0,NA,NA,,,,,,
779,53-7072,"Pump Operators, Except Wellhead Pumpers",$15.05 ,$24.12 ,High school diploma or equivalent,-1,<10,<10,0,NA,NA,,,,,,
780,53-7073,Wellhead Pumpers,Insf. Data,Insf. Data,High school diploma or equivalent,Insf. Data,<10,<10,0,NA,NA,,,,,,
781,53-7081,Refuse and Recyclable Material Collectors,$11.51 ,$17.92 ,No formal educational credential,25,58,16,74,Refuse and Recyclable Material Collectors,2,,,,,,
782,53-7111,Mine Shuttle Car Operators,Insf. Data,Insf. Data,No formal educational credential,Insf. Data,0,0,0,NA,NA,,,,,,
783,53-7121,"Tank Car, Truck, and Ship Loaders",$14.78 ,$23.37 ,No formal educational credential,-14,33,<10,33,"Tank Car, Truck, and Ship Loaders",3,,,,,,
784,53-7199,"Material Moving Workers, All Other",$13.32 ,$24.22 ,No formal educational credential,3,<10,<10,0,"Material Moving Workers, All Other",9,,,,,,
785,55-9999,Military occupations,$11.86 ,$18.12 ,N/A,0,34,0,34,NA,NA,,,,,,
786,99-9999,Unclassified Occupation,$0.00 ,$0.00 ,N/A,0,0,0,0,NA,NA,,,,,,
787,25-1194,NA,NA,NA,NA,NA,NA,NA,NA,"Vocational Education Teachers, Postsecondary",21,,,,,,
788,25-1199,NA,NA,NA,NA,NA,NA,NA,NA,"Postsecondary Teachers, All Other",18,,,,,,
789,25-1071,NA,NA,NA,NA,NA,NA,NA,NA,"Health Specialties Teachers, Postsecondary",8,,,,,,
790,25-1072,NA,NA,NA,NA,NA,NA,NA,NA,"Nursing Instructors and Teachers, Postsecondary",8,,,,,,
791,25-1123,NA,NA,NA,NA,NA,NA,NA,NA,"English Language and Literature Teachers, Postsecondary",8,,,,,,
792,55-1019,NA,NA,NA,NA,NA,NA,NA,NA,"Military Officer Special and Tactical Operations Leaders, All Other",7,,,,,,
793,25-1011,NA,NA,NA,NA,NA,NA,NA,NA,"Business Teachers, Postsecondary",6,,,,,,
794,25-1122,NA,NA,NA,NA,NA,NA,NA,NA,"Communications Teachers, Postsecondary",5,,,,,,
795,55-3019,NA,NA,NA,NA,NA,NA,NA,NA,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",5,,,,,,
796,25-1081,NA,NA,NA,NA,NA,NA,NA,NA,"Education Teachers, Postsecondary",4,,,,,,
797,25-1022,NA,NA,NA,NA,NA,NA,NA,NA,"Mathematical Science Teachers, Postsecondary",3,,,,,,
798,25-1111,NA,NA,NA,NA,NA,NA,NA,NA,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3,,,,,,
799,19-1020,NA,NA,NA,NA,NA,NA,NA,NA,Biologists,2,,,,,,
800,25-1021,NA,NA,NA,NA,NA,NA,NA,NA,"Computer Science Teachers, Postsecondary",2,,,,,,
801,25-1031,NA,NA,NA,NA,NA,NA,NA,NA,"Architecture Teachers, Postsecondary",2,,,,,,
802,25-1042,NA,NA,NA,NA,NA,NA,NA,NA,"Biological Science Teachers, Postsecondary",2,,,,,,
803,25-1052,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry Teachers, Postsecondary",2,,,,,,
804,55-1016,NA,NA,NA,NA,NA,NA,NA,NA,Infantry Officers,2,,,,,,
805,55-3014,NA,NA,NA,NA,NA,NA,NA,NA,Artillery and Missile Crew Members,2,,,,,,
806,25-1066,NA,NA,NA,NA,NA,NA,NA,NA,"Psychology Teachers, Postsecondary",1,,,,,,
807,25-1121,NA,NA,NA,NA,NA,NA,NA,NA,"Art, Drama, and Music Teachers, Postsecondary",1,,,,,,
